"id_polifenol"	"polifenol"	"id_gene"	"gene"	"quant"	"pmids"
"221"	"4683"	"2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one"	"HGNC:2187"	"COL11A2"	17	"21702500,23589723,22086183,24508476,29305928,25447816,24965577,15161032,10972974,18068334,16407847,22824956,25431425,15867384,24019108,18266953,21638027"
"374"	"4683"	"2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one"	"HGNC:6877"	"MAPK3"	1	"12796404"
"390"	"4683"	"2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one"	"HGNC:5397"	"IFI27"	19	"29267213,22634261,19885606,19538337,15122344,11241756,21935931,9652748,20506505,12181740,18534028,16322252,9421477,27240591,24096826,12907235,16518841,14971655,12167664"
"493"	"4683"	"2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one"	"HGNC:15962"	"CBX8"	1	"24424889"
"628"	"4683"	"2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one"	"HGNC:11766"	"TGFB1"	31	"10935498,27819344,27829223,19773433,12615364,15372629,23317243,10850453,16547158,29952428,24872318,18161870,22582395,11371552,25555875,17638924,24405819,11358848,14676209,19243022,15001985,14710346,29901173,22749815,12860278,26657209,21841813,28810836,15012721,18031579,19657566"
"716"	"4683"	"2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one"	"HGNC:1681"	"CD44"	1	"10896935"
"724"	"4683"	"2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one"	"HGNC:5464"	"IGF1"	1	"16168116"
"732"	"4683"	"2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one"	"HGNC:7419"	"MT-CO1"	4	"11006085,15655524,14751545,10785514"
"804"	"4683"	"2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one"	"HGNC:4617"	"GSK3B"	1	"24129178"
"808"	"4683"	"2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one"	"HGNC:3229"	"EGF"	1	"10935498"
"824"	"4683"	"2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one"	"HGNC:6407"	"KRAS"	1	"23615277"
"837"	"4683"	"2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one"	"HGNC:8977"	"PIK3CD"	43	"25869769,9748273,11085518,21472268,12902325,20471474,12906713,12942541,21429662,12087097,17600315,25672876,21570392,11461094,20506505,9934861,12894500,19820359,14617784,19077250,12543789,19568240,16394177,15449318,18441395,12051724,18341625,29524402,18829558,11872747,15468165,21092551,12481421,28748356,12056817,20397262,19243022,12522014,17476138,14648701,16518841,15930342,12167664"
"893"	"4683"	"2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one"	"HGNC:1727"	"CDC25C"	1	"27819344"
"901"	"4683"	"2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one"	"HGNC:6205"	"JUNB"	1	"15351317"
"905"	"4683"	"2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one"	"HGNC:6081"	"INS"	17	"23335521,11039477,9467952,11384880,15922332,9671232,10674396,15613433,12761667,9360986,10766192,9545345,15111768,21986708,23217386,25961241,12167664"
"956"	"4683"	"2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one"	"HGNC:6192"	"JAK2"	1	"24178240"
"957"	"4683"	"2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one"	"HGNC:11904"	"TNFRSF10A"	1	"21702500"
"970"	"4683"	"2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one"	"HGNC:3594"	"FASN"	1	"16925113"
"981"	"4683"	"2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one"	"HGNC:8743"	"PCSK1"	5	"14694442,17671214,16322288,21216934,26657209"
"1045"	"4683"	"2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one"	"HGNC:8909"	"PGP"	2	"24368600,15040019"
"1083"	"4683"	"2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one"	"HGNC:2561"	"CXCR4"	1	"17384283"
"1095"	"4683"	"2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one"	"HGNC:12811"	"XK"	6	"25683703,25982794,20232365,24019108,23685456,12387830"
"1139"	"4683"	"2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one"	"HGNC:6364"	"KLK3"	2	"11410519,12569372"
"1194"	"4683"	"2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one"	"HGNC:16938"	"IFI44"	45	"16025396,9175881,17945434,11528371,19435873,12526087,15169887,19520742,11483407,10484389,15767444,11179444,11191629,15856005,23307752,10534331,11078722,12023956,12603851,11910048,18989867,11162898,16571666,17289850,12204896,16964382,17526808,11798872,14751545,24069158,15161349,15111768,21236341,10094943,14511359,18596194,17611702,10433520,25961241,11134043,10484455,11675405,12717393,28814529,15110769"
"1212"	"4683"	"2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one"	"HGNC:2345"	"CREB1"	1	"16845490"
"1222"	"4683"	"2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one"	"HGNC:16964"	"DCTN6"	5	"23448150,17161815,11031257,12547723,22312289"
"1334"	"4683"	"2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one"	"HGNC:11821"	"TIMP2"	1	"17505812"
"1344"	"4683"	"2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one"	"HGNC:590"	"BIRC2"	4	"12851702,18377872,17133355,17097066"
"1385"	"4683"	"2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one"	"HGNC:8583"	"SERPINE1"	1	"15372629"
"1389"	"4683"	"2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one"	"HGNC:9612"	"PTK2B"	1	"17384283"
"1397"	"4683"	"2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one"	"HGNC:16627"	"CHEK2"	1	"25769181"
"1452"	"4683"	"2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one"	"HGNC:7155"	"MMP1"	18	"15027120,22314224,28101233,10645003,11918086,12767518,9478967,9923649,14692651,11179516,12455029,28390675,15047712,12060661,11997078,18031579,17876544,18617682"
